Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cagr0,agoraphobia,,descriptive,"
Earlier you said that you have been very nervous or afraid of (list endorsed fears).  I'd now like to ask you more about (that/those).


SYMPTOMS

Have you ever been very afraid of?",,,,NA,NA,NA,,,,NA,,NA,NA
dcagr001,agoraphobia,,radio,1. Riding in a car?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr001,NA,NA
dcagr002,agoraphobia,,radio,"2. Riding in a bus, train or subway?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr001,NA,NA
dcagr003,agoraphobia,,radio,3. Going over bridges or through tunnels?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr001,NA,NA
dcagr004,agoraphobia,,radio,4. Being far from home or leaving familiar places?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr001,NA,NA
dcagr005,agoraphobia,,radio,5. Being in the house alone? (For younger children: Being alone in a room or in a different part of the house from your parents.),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr001,NA,NA
dcagr006,agoraphobia,,notes,Describe,,,,NA,NA,NA,[dcagr005] = '1',,LH,NA,,NA,NA
dcagr007,agoraphobia,,radio,6. Being in a room alone?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr007,NA,NA
dcagr008,agoraphobia,,radio,"7. Going outside of your house by yourself (i.e., to play)? 

INTERVIEWER: Code NO if due to separation anxiety.
","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr007,NA,NA
dcagr009,agoraphobia,,notes,Describe,,,,NA,NA,NA,[dcagr008] = '1',,LH,NA,,NA,NA
dcagr010,agoraphobia,,radio,8. Being in crowds or crowded places?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr011,agoraphobia,,radio,9. Standing in line in a public place?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr012,agoraphobia,,radio,10. Being in stores or shopping malls?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr013,agoraphobia,,radio,11. Being in classrooms or cafeteria at school?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr014,agoraphobia,,radio,12. Being in a restaurant?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr015,agoraphobia,,radio,"13. Being in a movie theater or in a church, temple, or mosque?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr016,agoraphobia,,radio,"14. Being in a wide, open field or street?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr017,agoraphobia,,radio,15. Being in a park or playground?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr018,agoraphobia,,radio,16. Anything else?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr010,NA,NA
dcagr019,agoraphobia,,text,Specify (Other),,,,NA,NA,NA,[dcagr018] = '1',,RH,NA,,NA,NA
cagr1,agoraphobia,,descriptive,"
INTERVIEWER:If no to all,  END Agoraphobia section.
",,,,NA,NA,NA,[dcagr001] = '0' and [dcagr002] = '0' and [dcagr003] = '0' and [dcagr004] = '0' and [dcagr005] = '0' and [dcagr007] = '0' and [dcagr008] = '0' and [dcagr010] = '0' and [dcagr011] = '0' and [dcagr012] = '0' and [dcagr013] = '0' and [dcagr014] = '0' and [dcagr015] = '0' and [dcagr016] = '0' and [dcagr017] = '0' and [dcagr018] = '0',,,NA,,NA,NA
cagr2,agoraphobia,,descriptive,"
INTERVIEWER:  Be sure to distinguish between Agoraphobia, Specific Phobias and Separation Anxiety here (e.g. if the child is fearful because he/she is away from his/her parent this suggests Separation Anxiety, not Agoraphobia). Key criterion for Agoraphobia are listed below under Nature of Fear.
",,,,NA,NA,NA,,,,NA,,NA,NA
cagr3,agoraphobia,,descriptive,"
NATURE OF FEAR

When you were in (this/these) situation(s) (list specifics from above), were  you ever afraid that:",,,,NA,NA,NA,,,,NA,,NA,NA
dcagr020,agoraphobia,,radio,You might get trapped?,"0, Never | 1, Sometimes | 2, Almost Always | 7, Not Applicable | 9, Unknown",,,NA,NA,NA,,,,NA,dcagr020,NA,NA
dcagr021,agoraphobia,,radio,You couldn't escape?,"0, Never | 1, Sometimes | 2, Almost Always | 7, Not Applicable | 9, Unknown",,,NA,NA,NA,,,,NA,dcagr020,NA,NA
dcagr022,agoraphobia,,radio,You wouldn't be able to get help if you needed it?,"0, Never | 1, Sometimes | 2, Almost Always | 7, Not Applicable | 9, Unknown",,,NA,NA,NA,,,,NA,dcagr020,NA,NA
dcagr023,agoraphobia,,radio,It would be embarrassing to escape?,"0, Never | 1, Sometimes | 2, Almost Always | 7, Not Applicable | 9, Unknown",,,NA,NA,NA,,,,NA,dcagr020,NA,NA
dcagr024,agoraphobia,,radio,Other?,"0, Never | 1, Sometimes | 2, Almost Always | 7, Not Applicable | 9, Unknown",,,NA,NA,NA,,,,NA,dcagr020,NA,NA
dcagr025,agoraphobia,,text,Specify (Other),,,,NA,NA,NA,[dcagr024] = '1',,,NA,,NA,NA
dcagr026,agoraphobia,,notes,"Why were you nervous or afraid in these situations? 


INTERVIEWER:If no to all above, consider assessing under specific phobia and/or separation anxiety. Specify:",,,,NA,NA,NA,[dcagr020] = '0' and [dcagr021] = '0' and [dcagr022] = '0' and [dcagr023] = '0' and [dcagr024] = '0',,LH,NA,,NA,NA
cagr4,agoraphobia,,descriptive,"
INTERVIEWER: List the worst situation below. Record the corresponding number. 
",,,,NA,NA,NA,,,,NA,,NA,NA
cagr5a,agoraphobia,,descriptive,"
Participant Card 4 (Other Fears)
",,,,NA,NA,NA,,,,NA,,NA,NA
dcagr027,agoraphobia,,text,Most distressing and avoided situation:,,,,NA,NA,NA,,,,NA,,NA,NA
dcagr028,agoraphobia,,text,Most distressing and avoided code:,,CODE RESPONSE,number,1,15,NA,,,,NA,,NA,NA
cagr5,agoraphobia,,descriptive,"
WORST FEAR CATEGORY 



I will now ask you about (your fear listed): [dcagr027]. When you were most afraid of (your  fear): [dcagr027]: 
  
",,,,NA,NA,NA,,,,NA,,NA,NA
cagr6,agoraphobia,,descriptive,"
INTERVIEWER: Please read responses never, sometimes, almost always. 
",,,,NA,NA,NA,,,,NA,,NA,NA
cagr7,agoraphobia,,descriptive,When you were most afraid of (list fear):,,,,NA,NA,NA,,,,NA,,NA,NA
dcagr029,agoraphobia,,radio,How often did you feel nervous or afraid (insert situation)?,"0, Never | 1, Sometimes | 2, Almost Always | 7, N/A | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
dcagr030,agoraphobia,,radio,Did this scare you too much? Do you think you were more scared than you should have been?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr031,agoraphobia,,radio,Were you much more scared by this than other people your age?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr032,agoraphobia,,radio,"When you have to do (fear), did you feel very nervous, scared, or upset?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr033,agoraphobia,,radio,"When you had to do (fear), did you become very nervous, scared or upset right away?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr034,agoraphobia,,radio,"When you had to do (fear), did your heart ever beat very fast, or did you feel sweaty or have trouble breathing?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr035,agoraphobia,,radio,"When you had to do (fear), did you feel like crying, losing your temper, or like you couldn't move around?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
dcagr036,agoraphobia,,radio,Did being afraid of (fear) keep you from doing things you should or wanted to do?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcagr030,NA,NA
