Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
calc0,alcohol_abusedependence,,descriptive,"
The next questions are about your use of alcohol including beer, wine, wine coolers, and hard liquor like vodka, gin, whiskey, and mixed drinks.   When I say 'drink', I mean a glass of wine, a bottle or can of beer, a shot of liquor, or a mixed drink.

",,,,NA,NA,NA,,,,NA,,NA,NA
calc2,alcohol_abusedependence,,radio,"
INTERVIEWER: IS PARTICIPANT AGE 12 OR OLDER? 
","0, No | 1, Yes",,,NA,NA,NA,,,RH,NA,,NA,NA
calc1,alcohol_abusedependence,,descriptive,"
INTERVIEWER: Ask to 12 and over ONLY.
",,,,NA,NA,NA,[calc2] = '1',,,NA,,NA,NA
calc2a,alcohol_abusedependence,,descriptive,"
INTERVIEWER: If under 12 years, END Alcohol section.
",,,,NA,NA,NA,[calc2] = '0',,,NA,,NA,NA
calc3,alcohol_abusedependence,,descriptive,"
One Standard Drink:
12.oz. beer = 1 can or bottle
5 oz. wine = 1 small glass
1.5 oz. hard liquor = 1 shot or 1 mixed drink

",,,,NA,NA,NA,,,,NA,,NA,NA
calc4,alcohol_abusedependence,,descriptive,"
GENERAL PROBES


ALCOHOL USE
",,,,NA,NA,NA,,,,NA,,NA,NA
dcalc001,alcohol_abusedependence,,radio,"Have you ever had a drink of beer, wine, liquor, even a sip?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
calc5,alcohol_abusedependence,,descriptive,"
INTERVIEWER: If never had a drink, END Alcohol section.
",,,,NA,NA,NA,[dcalc001] = '0',,,NA,,NA,NA
dcalc002,alcohol_abusedependence,,radio,Have you ever had more than a sip?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
calc6,alcohol_abusedependence,,descriptive,"
INTERVIEWER: If never had more than a sip, END Alcohol section.
",,,,NA,NA,NA,[dcalc002] = '0',,,NA,,NA,NA
dcalc003,alcohol_abusedependence,,dropdown,"How old were you when you had your first drink? (i.e., not just a sip or a taste)","1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,,,,NA,,NA,NA
calc7,alcohol_abusedependence,,descriptive,In what context did you have your first drink?,,,,NA,NA,NA,,,,NA,,NA,NA
dcalc004,alcohol_abusedependence,,radio,With family?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcalc004,NA,NA
dcalc005,alcohol_abusedependence,,radio,With friends?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcalc004,NA,NA
dcalc006,alcohol_abusedependence,,radio,Religious occasions?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcalc004,NA,NA
dcalc007,alcohol_abusedependence,,radio,Alone,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcalc004,NA,NA
dcalc008,alcohol_abusedependence,,radio,Other,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcalc004,NA,NA
dcalc009,alcohol_abusedependence,,notes,Specify (Other),,,,NA,NA,NA,[dcalc008] = '1',,LH,NA,,NA,NA
calc8,alcohol_abusedependence,,descriptive,"
CURRENT USE
",,,,NA,NA,NA,,,,NA,,NA,NA
dcalc010,alcohol_abusedependence,,radio,Did you drink at all during the past 12 months?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
calc9,alcohol_abusedependence,,descriptive,"
INTERVIEWER: If no current use, SKIP to Past Quantity.
",,,,NA,NA,NA,[dcalc010] = '0',,,NA,,NA,NA
dcalc011,alcohol_abusedependence,,radio,"In the past 12 months, how often did you usually drink?","1, Almost every day | 2, 3-5 times per week | 3, 1-2 times per week | 4, 1-3 times per month | 5, Less than once per month | 9, Unknown",,,NA,NA,NA,[dcalc010] = '1',,LV,NA,,NA,NA
dcalc012,alcohol_abusedependence,,radio,What do you usually drink?,"1, Beer | 2, Wine | 3, Whiskey | 4, Vodka | 5, Gin | 6, Other",,,NA,NA,NA,[dcalc010] = '1',,LH,NA,,NA,NA
dcalc013,alcohol_abusedependence,,notes,Specify (Other),,,,NA,NA,NA,[dcalc012] = '6',,LH,NA,,NA,NA
dcalc014,alcohol_abusedependence,,text,"On the days that you drank, on average, how many drinks did you usually have? (In 24 hours)",,NUMBER OF DRINKS,number,NA,NA,NA,[dcalc010] = '1',,RH,NA,,NA,NA
dcalc015,alcohol_abusedependence,,radio,Do you usually drink to get drunk?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcalc010] = '1',,RH,NA,,NA,NA
dcalc016,alcohol_abusedependence,,text,How long have you been drinking this amount?,,MONTHS,number,NA,NA,NA,[dcalc010] = '1',,RH,NA,,NA,NA
calc10,alcohol_abusedependence,,descriptive,"
QUANTITY/PAST FREQUENCY
",,,,NA,NA,NA,[dcalc010] = '1',,,NA,,NA,NA
dcalc017,alcohol_abusedependence,,radio,Was there ever a time when you usually drank more often than (quote current frequency)?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcalc010] = '1',,RH,NA,,NA,NA
dcalc018,alcohol_abusedependence,,radio,How often did you drink then?,"1, Only once or twice ever | 2, Less than once a month | 3, Once a month | 4, Once a week | 5, 2-4 days a week | 6, 5-7 days a week",,,NA,NA,NA,[dcalc017] = '1',,LV,NA,,NA,NA
dcalc019,alcohol_abusedependence,,text,"How long ago did you stop drinking that often?
",,,,NA,NA,NA,[dcalc010] = '1',,,NA,,NA,NA
dcalc020,alcohol_abusedependence,,text,Code the number of months or best approximation since last time.,,MONTHS,number,NA,NA,NA,[dcalc010] = '1',,,NA,,NA,NA
calc11,alcohol_abusedependence,,descriptive,"
PAST QUANTITY
",,,,NA,NA,NA,,,,NA,,NA,NA
dcalc021,alcohol_abusedependence,,radio,Was there ever a time when you usually drank more than (quote current quantity) or a time when you drank the most?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcalc022,alcohol_abusedependence,,dropdown,"How much did you usually drink then?  
Code for highest quantity.","1, One drink | 2, Two drinks | 3, Thress drinks | 4, Four drinks | 5, Five drinks | 6, Six drinks | 7, Seven to 9 drinks | 8, More than 9 drinks",,,NA,NA,NA,[dcalc021] = '1',,,NA,,NA,NA
dcalc023,alcohol_abusedependence,,text,How long ago did you stop drinking that much?,,,,NA,NA,NA,[dcalc021] = '1',,,NA,,NA,NA
dcalc024,alcohol_abusedependence,,text,Code duration of episode in months.,,MONTHS,number,NA,NA,NA,[dcalc021] = '1',,,NA,,NA,NA
dcalc025,alcohol_abusedependence,,radio,Have you ever gotten drunk?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcalc026,alcohol_abusedependence,,radio,How many times have you been drunk?,"1, Once | 2, Two or three times | 3, Four to six times | 4, Seven to ten times | 5, More than ten times",,,NA,NA,NA,[dcalc025] = '1',,LH,NA,,NA,NA
calc12,alcohol_abusedependence,,descriptive,"
SYMPTOMS: ALCOHOL ABUSE/DEPENDENCE


ABUSE
",,,,NA,NA,NA,,,,NA,,NA,NA
calc13,alcohol_abusedependence,,descriptive,Did your drinking ever cause you to:,,,,NA,NA,NA,,,,NA,,NA,NA
dcalc027,alcohol_abusedependence,,radio,"Have problems at home, work, or school?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcalc027,NA,NA
dcalc028,alcohol_abusedependence,,radio,Have problems at school like getting in trouble or suspended?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcalc027,NA,NA
dcalc029,alcohol_abusedependence,,radio,Have lower grades at school or fail classes?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcalc027,NA,NA
dcalc030,alcohol_abusedependence,,radio,Get into physical fights?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcalc027,NA,NA
dcalc031,alcohol_abusedependence,,radio,Lose friends?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcalc027,NA,NA
dcalc032,alcohol_abusedependence,,radio,Did you continue to drink even though you knew it caused you any of these problems?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcalc027] = '1' or [dcalc028] = '1' or [dcalc029] = '1' or [dcalc030] = '1' or [dcalc031] = '1',,,NA,dcalc027,NA,NA
dcalc033,alcohol_abusedependence,,dropdown,"How old were you the first time you:

INTERVIEWER: Mention items coded YES in the above FIVE items.
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcalc027] = '1' or [dcalc028] = '1' or [dcalc029] = '1' or [dcalc030] = '1' or [dcalc031] = '1',,,NA,,NA,NA
dcalc034,alcohol_abusedependence,,radio,Did you miss school to go drinking or because you were hung-over?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcalc035,alcohol_abusedependence,,text,How many times?,,TIMES,number,NA,NA,NA,[dcalc034] = '1',,,NA,,NA,NA
dcalc036,alcohol_abusedependence,,radio,Did you go to school right after you had been drinking or drink while you were at school?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcalc037,alcohol_abusedependence,,text,How many times?,,TIMES,number,NA,NA,NA,[dcalc036] = '1',,,NA,,NA,NA
dcalc038,alcohol_abusedependence,,radio,Did you drink before you did something important or while you were doing something important-like babysitting or working?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcalc039,alcohol_abusedependence,,text,How many times?,,TIMES,number,NA,NA,NA,[dcalc038] = '1',,,NA,,NA,NA
