Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cadd0,attention_deficit_hyperactivity_disorder,,descriptive,"
Everyone has times when they have trouble concentrating or keeping their mind on what they are doing.  The next questions are about whether you have had more difficulty than most people with concentration or attention. 


GENERAL PROBES-INATTENTION
",,,,NA,NA,NA,,,,NA,,NA,NA
cadd1,attention_deficit_hyperactivity_disorder,,descriptive,"
Loses Things
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd001,attention_deficit_hyperactivity_disorder,,radio,"Have you often lost things you needed for school, like assignments or books or other things, or things you needed for projects at home?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd2,attention_deficit_hyperactivity_disorder,,descriptive,"
Difficulty Sustaining Attention in Tasks
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd002,attention_deficit_hyperactivity_disorder,,radio,Have you often had trouble paying attention or keeping your mind on your school work or other things that you were doing?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd3,attention_deficit_hyperactivity_disorder,,descriptive,"
Difficulty Sustaining Attention in Play
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd003,attention_deficit_hyperactivity_disorder,,radio,When you are doing something you usually enjoy (like playing with toys or games) do you have a hard time paying attention for more than a short time?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd4,attention_deficit_hyperactivity_disorder,,descriptive,"
Carelessness
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd004,attention_deficit_hyperactivity_disorder,,radio,Have you often made careless mistakes in school work or other activities?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd5,attention_deficit_hyperactivity_disorder,,descriptive,"
Forgetful
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd005,attention_deficit_hyperactivity_disorder,,radio,Have you often forgotten what you were supposed to be doing or what you had planned to do?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd6,attention_deficit_hyperactivity_disorder,,descriptive,"
Does Not Listen
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd006,attention_deficit_hyperactivity_disorder,,radio,Have people often said that you did not seem to be listening when they spoke to you or that you were daydreaming?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd7,attention_deficit_hyperactivity_disorder,,descriptive,"
Easily Distracted
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd007,attention_deficit_hyperactivity_disorder,,radio,Have even little things taken your mind away from what you are doing?  (Were you unable to keep your mind on what you were doing if things were going on nearby?),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd8,attention_deficit_hyperactivity_disorder,,descriptive,"
Avoids/Dislikes Tasks Requiring Attention
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd008,attention_deficit_hyperactivity_disorder,,radio,"Have you often disliked, avoided, or put off doing things that required a lot of concentration like your school work, homework, or other tasks?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd9,attention_deficit_hyperactivity_disorder,,descriptive,"
Difficulty Organizing Work/Activities
",,,,NA,NA,NA,,,,NA,,NA,NA
dcadd009,attention_deficit_hyperactivity_disorder,,radio,"Have you ever had trouble making plans, doing things that had to be done in a certain kind of order, or that had a lot of different steps?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cadd10,attention_deficit_hyperactivity_disorder,,descriptive,"
Difficulty Following Through on Tasks
",,,,NA,NA,NA,,,,NA,,NA,NA
