Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ccdd0,conduct_disorder,,descriptive,"
Earlier you told me you might do things that may get you into trouble with adults like breaking rules or getting into trouble with the police or other authorities. I am now going to ask you some questions about this. 


SYMPTOMS
",,,,NA,NA,NA,,,,NA,,NA,NA
ccdd1,conduct_disorder,,descriptive,"
Stayed Out Late
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd001,conduct_disorder,,radio,Did you ever get into trouble because you stayed out at night later than your parents permitted? (> 2 hours),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd002,conduct_disorder,,dropdown,How old were you the first time you stayed out at night later than your parents permitted?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dccdd001] = '1',,,NA,,NA,NA
ccdd2,conduct_disorder,,descriptive,"
Has Run Away from Home Overnight
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd003,conduct_disorder,,radio,Did you ever run away from home overnight?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd004,conduct_disorder,,text,How many times?,,TIMES,number,NA,NA,NA,[dccdd003] = '1',,,NA,,NA,NA
dccdd005,conduct_disorder,,dropdown,How old were you the first time you ran away from home?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dccdd003] = '1',,RH,NA,,NA,NA
ccdd3,conduct_disorder,,descriptive,"
Stolen from Family
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd006,conduct_disorder,,radio,Did you ever secretly steal money or other things from your family or from the other people you live with?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd4,conduct_disorder,,descriptive,"
Stolen without Confrontation
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd007,conduct_disorder,,radio,Did you ever shoplift or steal something from others or a store worth at least $5?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd5,conduct_disorder,,descriptive,"
Often Lies
",,,,NA,NA,NA,,,,NA,,NA,NA
ccdd6,conduct_disorder,,descriptive,Did you often tell lies:,,,,NA,NA,NA,,,,NA,,NA,NA
dccdd008,conduct_disorder,,radio,To trick people into giving you things?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd009,conduct_disorder,,radio,To get people to do what you want them to do?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd010,conduct_disorder,,radio,To get out of doing things you were supposed to do?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd7,conduct_disorder,,descriptive,"
Often Truant from School
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd011,conduct_disorder,,radio,Did you often skip school?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd012,conduct_disorder,,text,How many times did you skip school?,,TIMES,number,NA,NA,NA,[dccdd011] = '1',,RH,NA,,NA,NA
dccdd013,conduct_disorder,,dropdown,How old were you the first time you skipped school?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dccdd011] = '1',,,NA,,NA,NA
ccdd8,conduct_disorder,,descriptive,"
Has Broken into Someone Else's Property
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd014,conduct_disorder,,radio,"Did you ever break into a house, a building, or a car?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd9,conduct_disorder,,descriptive,"
Has Deliberately Destroyed Others' Property
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd015,conduct_disorder,,radio,"Did you ever deliberately damage someone else's property, by doing something like breaking windows, slashing tires, or writing on buildings?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd016,conduct_disorder,,text,How many times?,,TIMES,number,NA,NA,NA,[dccdd015] = '1',,,NA,,NA,NA
ccdd10,conduct_disorder,,descriptive,"
Deliberately Engaged in Fire Setting
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd018,conduct_disorder,,radio,Did you ever start a fire to try to cause serious damage?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd11,conduct_disorder,,descriptive,"
Physically Cruel to Animals
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd019,conduct_disorder,,radio,Have you ever been physically cruel to an animal and hurt it on purpose?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd12,conduct_disorder,,descriptive,"
Often Bullies Others
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd020,conduct_disorder,,radio,"Did you often bully others? (Hitting, threatening or scaring someone who was younger or smaller)","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd021,conduct_disorder,,radio,Was this only with your brother or sister?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dccdd020] = '1',,RH,NA,,NA,NA
ccdd13,conduct_disorder,,descriptive,"
Deliberately Threatened/Frightened Someone
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd022,conduct_disorder,,radio,Did you threaten or frighten someone on purpose?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dccdd023,conduct_disorder,,radio,Was this only with your brother or sister?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dccdd022] = '1',,RH,NA,,NA,NA
ccdd14,conduct_disorder,,descriptive,"
Often Initiates Physical Fights
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd024,conduct_disorder,,radio,Did you often start physical fights with others?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd15,conduct_disorder,,descriptive,"
Physically Cruel to People
",,,,NA,NA,NA,,,,NA,,NA,NA
dccdd025,conduct_disorder,,radio,Were you ever physically cruel to another person and hurt him or her on purpose?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ccdd16,conduct_disorder,,descriptive,"
Tried to Hurt Someon with a Weapon
",,,,NA,NA,NA,,,,NA,,NA,NA
