Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cdgu0,drug_use,,descriptive,"
Earlier you told me about some substances/drugs you have tried. I am going to ask you a little more about that. 

",,,,NA,NA,NA,,,,NA,,NA,NA
cdgu2,drug_use,,radio,"
INTERVIEWER: IS PARTICIPANT AGE 12 OR OLDER? 
","0, No | 1, Yes",,,NA,NA,NA,,,RH,NA,,NA,NA
cdgu1,drug_use,,descriptive,"
INTERVIEWER: Ask to 12 and over ONLY. Refer back to the screener and complete sections that were endorced.
",,,,NA,NA,NA,[cdgu2] = '1',,,NA,,NA,NA
cdgu2a,drug_use,,descriptive,"
INTERVIEWER: If under 12 years, END Alcohol section.
",,,,NA,NA,NA,[cdgu2] = '0',,,NA,,NA,NA
cdgu3,drug_use,,descriptive,"
INTERVIEWER: For each section endorsed use child's language rather than proper terminology. For example, if child says he/she smoked 'weed' use this term throughout the section rather than the term marijuana. 
",,,,NA,NA,NA,,,,NA,,NA,NA
cdgu4,drug_use,,descriptive,"
MARIJUANA, HASHISH, HASH OIL, THC
",,,,NA,NA,NA,,,,NA,,NA,NA
dcdgu001,drug_use,,radio,"Have you ever used marijuana (pot or weed), hashish, or hash oil?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cdgu5,drug_use,,descriptive,"
INTERVIEWER: If no, SKIP to Solvents. 
",,,,NA,NA,NA,[dcdgu001] = '0',,,NA,,NA,NA
dcdgu002,drug_use,,notes,Which did you use?,,,,NA,NA,NA,[dcdgu001] = '1',,LH,NA,,NA,NA
dcdgu003,drug_use,,radio,"When you used marijuana or hashish the most, how often did you use it? 

INTERVIEWER: Code for month of greatest use. 
","1, Tried fewer than 10 times | 2, Less than once a week | 3, Once or twice a week | 4, Three to five times a week | 5, Almost every day | 6, Two to three times a day | 7, More than three times daily | 9, Unknown",,,NA,NA,NA,[dcdgu001] = '1',,LV,NA,,NA,NA
dcdgu004,drug_use,,dropdown,How old were you then?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcdgu001] = '1',,,NA,,NA,NA
dcdgu005,drug_use,,text,For how many months did you use marijuana or hashish that much?,,MONTHS,number,NA,NA,NA,[dcdgu001] = '1',,,NA,,NA,NA
dcdgu006,drug_use,,dropdown,How old were you when you first tried marijuana or hashish?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcdgu001] = '1',,,NA,,NA,NA
cdgu6a,drug_use,,descriptive,"How old were you when you first used marijuana or hashish regularly, that is, at least three times a week?",,,,NA,NA,NA,[dcdgu001] = '1',,,NA,,NA,NA
