Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ceat0,eating_disorders,,descriptive,"
Earlier you told me some things about your eating habits and your weight. Now I would like to ask you some questions about that. 


GENERAL PROBES


Bulimia
",,,,NA,NA,NA,,,,NA,,NA,NA
dceat001,eating_disorders,,radio,"
Now I am going to ask you about eating binges.  An eating binge is when someone stuffs themselves with a whole lot of food in a short time - like several whole pizzas or a whole chocolate cake or several containers of ice cream - and they don't seem to be able to control how much they eat. 
 

Have you ever had an eating binge like that?  
","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
ceat2,eating_disorders,,descriptive,"
INTERVIEWER: If no, SKIP to Compensatory Behavior.
",,,,NA,NA,NA,[dceat001] = '0',,,NA,,NA,NA
dceat002,eating_disorders,,radio,"During these binges were you afraid you could not stop eating, or that your eating was out of control?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dceat001] = '1',,RH,NA,,NA,NA
ceat3,eating_disorders,,descriptive,"On average, how often per week or month did you have eating binges?",,,,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat003,eating_disorders,,text,Binge Frequency Per Week,,TIMES PER WEEK,number,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat004,eating_disorders,,text,Binge Frequency Per Month,,TIMES PER MONTH,number,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
ceat4,eating_disorders,,descriptive,How long did this period of over-eating last?,,,,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat005,eating_disorders,,text,N of Days,,DAYS,number,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat006,eating_disorders,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat007,eating_disorders,,text,N of Months,,MONTHS,number,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
ceat5,eating_disorders,,descriptive,"
EPISODES/COURSE
",,,,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
ceat6,eating_disorders,,descriptive,"
ONSET
",,,,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat008,eating_disorders,,dropdown,How old were you the first time you did these (list behaviors)?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",ONSET AGE,autocomplete,NA,NA,NA,[dceat001] = '1',,RH,NA,,NA,NA
ceat7,eating_disorders,,descriptive,"
OFFSET
",,,,NA,NA,NA,[dceat001] = '1',,,NA,,NA,NA
dceat009,eating_disorders,,radio,Do you currently have times when you do these behaviors?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dceat001] = '1',,RH,NA,,NA,NA
dceat010,eating_disorders,,dropdown,How old were you the last time you did this behavior?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",OFFSET AGE,autocomplete,NA,NA,NA,[dceat009] = '0',,,NA,,NA,NA
ceat8,eating_disorders,,descriptive,"
COMPENSATORY BEHAVIOR
",,,,NA,NA,NA,,,,NA,,NA,NA
ceat9,eating_disorders,,descriptive,"Did you do anything to make yourself thin, like:",,,,NA,NA,NA,,,,NA,,NA,NA
dceat011,eating_disorders,,radio,Making yourself throw up?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat011,NA,NA
dceat012,eating_disorders,,radio,Taking diet pills or any other pills/medicine to help you lose weight?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat011,NA,NA
dceat013,eating_disorders,,notes,Which substances?,,,,NA,NA,NA,[dceat012] = '1',,LH,NA,,NA,NA
dceat014,eating_disorders,,radio,Going on a very strict diet (eating very few calories)?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat014,NA,NA
dceat015,eating_disorders,,radio,Fasting (not eating at all)?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat014,NA,NA
dceat016,eating_disorders,,radio,Exercising a lot?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat014,NA,NA
dceat017,eating_disorders,,radio,Chewing and spitting out food rather than swallowing?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat014,NA,NA
dceat018,eating_disorders,,radio,Other,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dceat014,NA,NA
dceat019,eating_disorders,,notes,Specify (Other),,,,NA,NA,NA,[dceat018] = '1',,LH,NA,,NA,NA
ceat10,eating_disorders,,descriptive,"
INTERVIEWER: If no to all Compensatory, SKIP to Body Image.
",,,,NA,NA,NA,[dceat011] = '0' and [dceat012] = '0' and [dceat014] = '0' and [dceat015] = '0' and [dceat016] = '0' and [dceat017] = '0' and  [dceat018] = '0',,,NA,,NA,NA
dceat020,eating_disorders,,dropdown,How old were you the first time you did any of these behaviors (list)?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
ceat11,eating_disorders,,descriptive,"On average, how often did you engage in (name compensatory behavior)?",,,,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
dceat021,eating_disorders,,text,Number of Times Per Week,,TIMES,number,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
dceat022,eating_disorders,,text,Number of Times Per Month,,TIMES,number,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
ceat12,eating_disorders,,descriptive,How long did this (name compensatory behavior) period last?,,,,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
dceat023,eating_disorders,,text,N of Days,,DAYS,number,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
dceat024,eating_disorders,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
dceat025,eating_disorders,,text,N of Months,,MONTHS,number,NA,NA,NA,[dceat011] = '1' or [dceat012] = '1' or [dceat014] = '1' or [dceat015] = '1' or [dceat016] = '1' or [dceat017] = '1' or  [dceat018] = '1',,,NA,,NA,NA
ceat13,eating_disorders,,descriptive,"
BODY IMAGE
",,,,NA,NA,NA,,,,NA,,NA,NA
dceat026,eating_disorders,,radio,During this time (did you ever have a time when you) were you a lot more concerned about your weight and/or shape than most people your age?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ceat14,eating_disorders,,descriptive,"
ANOREXIA NERVOSA
",,,,NA,NA,NA,,,,NA,,NA,NA
dceat027,eating_disorders,,radio,Was there ever a time when you weighed much less than other people thought you ought to weigh?  Has anyone ever worried that you were much too thin?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
ceat15,eating_disorders,,descriptive,"
INTERVIEWER: If no to Anorexia, SKIP to Distress/Impairment.
",,,,NA,NA,NA,[dceat027] = '0',,,NA,,NA,NA
