Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cman0,maniahypomania,,descriptive,"
Some young people have times when they are energetic, or cheerful, very different from how they usually feel.  At these times, they may also feel more talkative, more active, sleep less and feel more restless.


CURRENT/MOST RECENT EPISODE
",,,,NA,NA,NA,,,,NA,,NA,NA
cman00,maniahypomania,,descriptive,"So you said that you had a time when you've felt (more active, excited, energetic):",,,,NA,NA,NA,,,,NA,,NA,NA
dcman001,maniahypomania,,radio,Do you feel this way now?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcman002,maniahypomania,,dropdown,How old were you the last time you felt this way?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcman001]= '0',,RH,NA,,NA,NA
cman1,maniahypomania,,descriptive,How long did you feel this way?,,,,NA,NA,NA,[dcman001]= '0',,,NA,,NA,NA
dcman003,maniahypomania,,text,N of Days,,DAYS,number,NA,NA,NA,[dcman001]= '0',,,NA,,NA,NA
dcman004,maniahypomania,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcman001]= '0',,,NA,,NA,NA
dcman005,maniahypomania,,text,N of Months,,MONTHS,number,NA,NA,NA,[dcman001]= '0',,,NA,,NA,NA
cman2,maniahypomania,,descriptive,How old were you when this ended?,,,,NA,NA,NA,[dcman001]= '0',,,NA,,NA,NA
dcman006,maniahypomania,,dropdown,Age,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcman001]= '0',,RH,NA,,NA,NA
dcman007,maniahypomania,,dropdown,Month,"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 97, 97 | 98, 98 | 99, 99",MONTH,autocomplete,NA,NA,NA,[dcman001]= '0',,RH,NA,,NA,NA
dcman008,maniahypomania,,text,Year,,YEAR,number,1900,9999,NA,[dcman001]= '0',,RH,NA,,NA,NA
cman3,maniahypomania,,descriptive,"If now, how long have you felt this way?",,,,NA,NA,NA,[dcman001]= '1',,,NA,,NA,NA
dcman009,maniahypomania,,text,N of Days,,DAYS,number,NA,NA,NA,[dcman001]= '1',,,NA,,NA,NA
dcman010,maniahypomania,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcman001]= '1',,,NA,,NA,NA
dcman011,maniahypomania,,text,N of Months,,MONTHS,number,NA,NA,NA,[dcman001]= '1',,,NA,,NA,NA
dcman012,maniahypomania,,radio,Was there a time that was more intense or lasted longer than this time?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcman013,maniahypomania,,dropdown,How old were you when you felt this way?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcman012]= '1',,RH,NA,,NA,NA
cman4,maniahypomania,,descriptive,How long did you feel this way?,,,,NA,NA,NA,[dcman012]= '1',,,NA,,NA,NA
dcman014,maniahypomania,,text,N of Days,,DAYS,number,NA,NA,NA,[dcman012]= '1',,,NA,,NA,NA
dcman015,maniahypomania,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcman012]= '1',,,NA,,NA,NA
dcman016,maniahypomania,,text,N of Months,,MONTHS,number,NA,NA,NA,[dcman012]= '1',,,NA,,NA,NA
cman5,maniahypomania,,descriptive,How old were you when this ended?,,,,NA,NA,NA,[dcman012]= '1',,,NA,,NA,NA
