Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cocd0,obsessive_compulsive_disorder,,descriptive,"
Earlier I asked you about thoughts or ideas that come into your head over and over again. I would like to ask you more about (that/those) now. 


GENERAL PROBES-OBSESSIONS


Recurrent and persistent ideas, thoughts, impulses (initially experienced as intrusive and senseless).
",,,,NA,NA,NA,,,,NA,,NA,NA
dcocd001,obsessive_compulsive_disorder,,radio,"Have you ever been bothered by thoughts in your head, that come over and over again and won't go away, or that didn't make sense?  (Like silly words or ideas about harming others/self, germs, illness, need to have things an exact way or anything else the child said)","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcocd002,obsessive_compulsive_disorder,,radio,Did you try to push the thoughts away?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcocd003,obsessive_compulsive_disorder,,radio,"Have you ever been bothered by pictures in your mind that kept coming back, such as pictures of violent things, like people being hurt?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcocd004,obsessive_compulsive_disorder,,radio,Did you worry a lot about getting an illness or bad disease?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
cocd2,obsessive_compulsive_disorder,,descriptive,"
INTERVIEWER: If answers no to all,  SKIP to  Compulsion.
",,,,NA,NA,NA,[dcocd001] = '0' and [dcocd002] = '0'  and [dcocd003] = '0'  and [dcocd004] = '0',,,NA,,NA,NA
dcocd005,obsessive_compulsive_disorder,,notes,"If yes: What kind of thoughts, images or impulses have you had? (Interviewer: Not simply excessive worries about real life problems.)",,,,NA,NA,NA,[dcocd001] = '1' or [dcocd002] = '1'  or [dcocd003] = '1' or  [dcocd004] = '1',,LH,NA,,NA,NA
cocd3,obsessive_compulsive_disorder,,descriptive,"
SPECIFIC THOUGHTS

I would like to ask you about some thoughts that people sometimes have. 
 
Have you had thoughts about:",,,,NA,NA,NA,[dcocd001] = '1' or [dcocd002] = '1'  or [dcocd003] = '1' or  [dcocd004] = '1',,,NA,,NA,NA
dcocd006,obsessive_compulsive_disorder,,radio,Concern with harming others/self?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcocd001] = '1' or [dcocd002] = '1'  or [dcocd003] = '1' or  [dcocd004] = '1',,RH,NA,,NA,NA
dcocd007,obsessive_compulsive_disorder,,radio,"Pictures of violent things, like people being hurt?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcocd001] = '1' or [dcocd002] = '1'  or [dcocd003] = '1' or  [dcocd004] = '1',,RH,NA,,NA,NA
