Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
codd0,oppositional_defiant_disorder,,descriptive,"
Earlier you told me that you do things that might get you into trouble, like talking back to parents/teachers or losing your temper. I am now going to ask you some questions about that. 


SYMPTOMS
",,,,NA,NA,NA,,,,NA,,NA,NA
codd1,oppositional_defiant_disorder,,descriptive,"
Loses Temper
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd001,oppositional_defiant_disorder,,radio,"Did you often lose your temper, scream and yell at people, or break things when you got angry?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd2,oppositional_defiant_disorder,,descriptive,"
Argues with Adults
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd002,oppositional_defiant_disorder,,radio,Did you argue with or talk back to your parents more often than your friends did?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcodd003,oppositional_defiant_disorder,,radio,Did you argue with or talk back to your teachers more often than your classmates did?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd3,oppositional_defiant_disorder,,descriptive,"
Defies Adults or Rules
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd004,oppositional_defiant_disorder,,radio,"Did you often refuse to do what your parents or teachers asked you to do, for example chores or tasks at school?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcodd005,oppositional_defiant_disorder,,radio,Did you often get into trouble for breaking rules at home or school?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd4,oppositional_defiant_disorder,,descriptive,"
Deliberately Annoys other People
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd006,oppositional_defiant_disorder,,radio,Did you often do things on purpose to bother or annoy other people? (code no if only with sibling),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd5,oppositional_defiant_disorder,,descriptive,"
Blames Others for Mistakes
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd007,oppositional_defiant_disorder,,radio,Did you often blame other people for your mistakes? (code no if only with sibling),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd6,oppositional_defiant_disorder,,descriptive,"
Irritable or Easily Annoyed
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd008,oppositional_defiant_disorder,,radio,Were you often irritable or grouchy?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcodd009,oppositional_defiant_disorder,,radio,Would other people often annoy you or make you angry?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd7,oppositional_defiant_disorder,,descriptive,"
Angry/Resentful
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd010,oppositional_defiant_disorder,,radio,Have you often gotten angry because you thought things were unfair?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd8,oppositional_defiant_disorder,,descriptive,"
Spiteful/Vindictive
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd011,oppositional_defiant_disorder,,radio,"Have you often tried to get back at people or get even with them by doing things like hurting them, messing up their things, or telling lies about them?  (code no if only with sibling)","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd9,oppositional_defiant_disorder,,descriptive,"
Swears or Uses Obscene Language
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd012,oppositional_defiant_disorder,,radio,Did you often get into trouble for swearing or using bad language?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd10,oppositional_defiant_disorder,,descriptive,"
INTERVIEWER: If no to all, END Oppositional Defiant Disorder section.
",,,,NA,NA,NA,[dcodd001] = '0' and [dcodd002] = '0' and [dcodd003] = '0' and [dcodd004] = '0' and [dcodd005] = '0' and  [dcodd006] = '0' and [dcodd007] = '0' and [dcodd008] = '0' and [dcodd009] = '0' and [dcodd010] = '0' and [dcodd011] = '0' and [dcodd012] = '0',,,NA,,NA,NA
codd11,oppositional_defiant_disorder,,descriptive,"
Did you do these behaviors:",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd013,oppositional_defiant_disorder,,radio,With your parents?,"0, No| 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcodd013,NA,NA
dcodd014,oppositional_defiant_disorder,,radio,With your teachers?,"0, No| 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcodd013,NA,NA
dcodd015,oppositional_defiant_disorder,,radio,With other adults?,"0, No| 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,dcodd013,NA,NA
dcodd016,oppositional_defiant_disorder,,radio,"How often did you (behaviors)?  Was it: nearly every day, a few days a week, about once a week, or less than once a week?","1, Nearly every day | 2, A few days a week | 3, About once a week | 4, Less than once a week | 9, Unknown",,,NA,NA,NA,,,LH,NA,,NA,NA
dcodd017,oppositional_defiant_disorder,,radio,Did you do these behaviors for at least six months or more?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
codd12,oppositional_defiant_disorder,,descriptive,"
DISTRESS/IMPAIRMENT

Please look at the thermometer/scale. Remind child how to use scale, if necessary.
",,,,NA,NA,NA,,,,NA,,NA,NA
codd13,oppositional_defiant_disorder,,descriptive,"
Participant Card 8 (Distress/Impairment)
",,,,NA,NA,NA,,,,NA,,NA,NA
codd14,oppositional_defiant_disorder,,descriptive,"
DISTRESS 
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd018,oppositional_defiant_disorder,,dropdown,How much did having these behaviors upset or bother you?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 997, 997 | 998, 998 | 999, 999",CODE RESPONSE,autocomplete,0,10,NA,,,,NA,,NA,NA
codd15,oppositional_defiant_disorder,,descriptive,"
IMPAIRMENT

",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd019,oppositional_defiant_disorder,,dropdown,"Family: How much did these behaviors change your relationships with your family? 
(Probe: Did your family say something about this to you?  Did family members seem upset, angry, or annoyed with you because of your behavior?) 
","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 997, 997 | 998, 998 | 999, 999",CODE RESPONSE,autocomplete,0,10,NA,,,,NA,,NA,NA
dcodd020,oppositional_defiant_disorder,,dropdown,"Social: How much did these behaviors change your relationships with your friends? 
(Probe: Did you find yourself spending much less time than usual with your friends?  Did your friends say something about your behavior) 
","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 997, 997 | 998, 998 | 999, 999",CODE RESPONSE,autocomplete,0,10,NA,,,,NA,,NA,NA
dcodd021,oppositional_defiant_disorder,,dropdown,"School: How much did these behaviors change your relationships with your teachers or classmates?  -change how well you did at school, on tests, homework, or grades?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 997, 997 | 998, 998 | 999, 999",CODE RESPONSE,autocomplete,0,10,NA,,,,NA,,NA,NA
dcodd022,oppositional_defiant_disorder,,radio,Did you stay home or were you sent home from school because of your behavior?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dcodd023,oppositional_defiant_disorder,,text,How many days of school did you miss because of your difficulties with attention or overactivity? (lifetime),,DAYS,number,NA,NA,NA,[dcodd022] = '1',,,NA,,NA,NA
codd16,oppositional_defiant_disorder,,descriptive,"
GLOBAL IMPAIRMENT
",,,,NA,NA,NA,,,,NA,,NA,NA
dcodd024,oppositional_defiant_disorder,,dropdown,"
INTERVIEWER: What number describes how impaired the participant was during the episode?
","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 997, 997 | 998, 998 | 999, 999",GLOBAL IMPAIRMENT,autocomplete,NA,NA,NA,,,,NA,,NA,NA
codd17,oppositional_defiant_disorder,,descriptive,"
EPISODES/COURSE
",,,,NA,NA,NA,,,,NA,,NA,NA
codd18,oppositional_defiant_disorder,,descriptive,"
ONSET
",,,,NA,NA,NA,,,,NA,,NA,NA
codd19,oppositional_defiant_disorder,,descriptive,How old were you the first time you did these (list behaviors)?,,,,NA,NA,NA,,,,NA,,NA,NA
dcodd025,oppositional_defiant_disorder,,radio,Always,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
