Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cgad0,overanxiousgad,,descriptive,"
Earlier, you told me that (insert endorsed symptoms from screener). 


CONTENT OF WORRY


I will first ask you about what you worried about during (that/these times).
",,,,NA,NA,NA,,,,NA,,NA,NA
dcgad001,overanxiousgad,,radio,"Did you worry a lot about things before they happened? (For example, did you worry about starting school in the fall, taking a test, or going to see a doctor?)","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad002,overanxiousgad,,radio,"Did you worry a lot about little things you've done in the past? (For example, did you worry about how well you behaved or whether you said or did the right thing?)","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad003,overanxiousgad,,radio,Did you worry a lot about how well you did your school work?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad004,overanxiousgad,,radio,Did you worry a lot about how good you were in sports or dance or other activities?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad005,overanxiousgad,,radio,Did you worry a lot about whether people liked you?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad006,overanxiousgad,,radio,Did you worry a lot about what other people thought about you?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad007,overanxiousgad,,radio,Did you often ask your parents or teachers if you're doing a good job or doing your work correctly?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad008,overanxiousgad,,radio,"When you were uncomfortable with a situation, did you ask a lot of questions of your parents to try to make yourself feel better?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad001,NA,NA
dcgad009,overanxiousgad,,notes,What other kinds of things did you worry about during (that/these times)?,,,,NA,NA,NA,,,LH,NA,,NA,NA
cgad1,overanxiousgad,,descriptive,"
INTERVIEWER: Code content of worries in category below.
",,,,NA,NA,NA,,,,NA,,NA,NA
dcgad010,overanxiousgad,,radio,"Being on time, keeping schedules","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad010,NA,NA
dcgad011,overanxiousgad,,radio,Perfectionism; never making mistakes,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcgad010,NA,NA
