Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cptd0,posttraumatic_stress_disorder,,descriptive,"
Earlier I asked about different experiences you might have had or witnessed. I am going to ask you a little about those now.

",,,,NA,NA,NA,,,,NA,,NA,NA
cptd1,posttraumatic_stress_disorder,,descriptive,"
INTERVIEWER: If any events potentially qualify for PTSD, LIST them below and prioritize the one which has had the most impact on the subject.
",,,,NA,NA,NA,,,,NA,,NA,NA
cptd2,posttraumatic_stress_disorder,,descriptive,"
Participant Card 5 (Stressful Experiences)
",,,,NA,NA,NA,,,,NA,,NA,NA
cptd3,posttraumatic_stress_disorder,,descriptive,"Which one do you think about the most or upsets you the most, 2nd most, etc?


INTERVIEWER: Remind child how to use scale, if necessary.
",,,,NA,NA,NA,,,,NA,,NA,NA
dcptd001a,posttraumatic_stress_disorder,,text,Event 1,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd001b,posttraumatic_stress_disorder,,text,Event 2,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd001c,posttraumatic_stress_disorder,,text,Event 3,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd001d,posttraumatic_stress_disorder,,text,Event 4,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd001e,posttraumatic_stress_disorder,,text,Event 5,,,,NA,NA,NA,,,,NA,,NA,NA
cptd4,posttraumatic_stress_disorder,,descriptive,"
Now I want to ask you about some of your thoughts/feelings/behaviors after (insert worst event name here).


SYMPTOMS
",,,,NA,NA,NA,,,,NA,,NA,NA
cptd5,posttraumatic_stress_disorder,,descriptive,"After the (event name) happened, did you ever feel:",,,,NA,NA,NA,,,,NA,,NA,NA
dcptd002,posttraumatic_stress_disorder,,radio,Very afraid?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd002,NA,NA
dcptd003,posttraumatic_stress_disorder,,radio,Helpless or feel bad that you couldn't do anything to stop it?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd002,NA,NA
dcptd004,posttraumatic_stress_disorder,,radio,Like you didn't know what to do next?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd002,NA,NA
dcptd005,posttraumatic_stress_disorder,,radio,Like you were going crazy?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd002,NA,NA
dcptd006,posttraumatic_stress_disorder,,radio,Very nervous?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd002,NA,NA
cptd6,posttraumatic_stress_disorder,,descriptive,"

Re-experiencing
",,,,NA,NA,NA,,,,NA,,NA,NA
cptd7,posttraumatic_stress_disorder,,descriptive,Following the (event name):,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd007,posttraumatic_stress_disorder,,radio,Have you often thought about what happened even though you didn't want to think about it?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd007,NA,NA
dcptd008,posttraumatic_stress_disorder,,radio,"Have repeated, frightening dreams about (the event)?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd007,NA,NA
dcptd009,posttraumatic_stress_disorder,,radio,Act (or feel) as though (the event) were happening all over again?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd007,NA,NA
dcptd010,posttraumatic_stress_disorder,,radio,Get very upset when something reminded you of (the event)?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd007,NA,NA
dcptd011,posttraumatic_stress_disorder,,radio,"When something reminded you of (this event), did you start to sweat or feel like you would faint?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd007,NA,NA
cptd8,posttraumatic_stress_disorder,,descriptive,"

Avoidance
",,,,NA,NA,NA,,,,NA,,NA,NA
cptd9,posttraumatic_stress_disorder,,descriptive,After the (event name):,,,,NA,NA,NA,,,,NA,,NA,NA
dcptd012,posttraumatic_stress_disorder,,radio,Have you tried hard not to think or hear about what happened?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd012,NA,NA
dcptd013,posttraumatic_stress_disorder,,radio,Have you tried to stay away from places/people who might remind you of what happened?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcptd012,NA,NA
