Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cpsy0,psychosis,,descriptive,"
Earlier you told me about some experiences that you have had (list child's behaviors). Now I am going to ask you a little about those.



SYMPTOMS

HALLUCINATIONS

INTERVIEWER:  To be rated positively, a hallucination should have been present throughout the day for several days or intermittently throughout a one-week period.

",,,,NA,NA,NA,,,,NA,,NA,NA
cpsy1,psychosis,,descriptive,"
AUDITORY

NON VERBAL SOUNDS
",,,,NA,NA,NA,,,,NA,,NA,NA
dcpsy001,psychosis,,radio,Did you ever hear sounds or noises that other people couldn't hear?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
cpsy2,psychosis,,descriptive,How long did this last (Estimate duration and dates)?,,,,NA,NA,NA,[dcpsy001] = '1',,,NA,,NA,NA
dcpsy002,psychosis,,text,N of Minutes,,MINUTES,number,NA,NA,NA,[dcpsy001] = '1',,,NA,,NA,NA
dcpsy003,psychosis,,text,N of Hours,,HOURS,number,NA,NA,NA,[dcpsy001] = '1',,,NA,,NA,NA
dcpsy004,psychosis,,text,N of Days,,DAYS,number,NA,NA,NA,[dcpsy001] = '1',,,NA,,NA,NA
dcpsy005,psychosis,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcpsy001] = '1',,,NA,,NA,NA
cpsy3,psychosis,,descriptive,"
COMMENTING VOICES 
",,,,NA,NA,NA,,,,NA,,NA,NA
dcpsy006,psychosis,,radio,"Have you ever heard a voice saying what you were doing, feeling or thinking, and nobody else could hear it?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
cspy4,psychosis,,descriptive,How long did this last (Estimate duration and dates)?,,,,NA,NA,NA,[dcpsy006] = '1',,,NA,,NA,NA
dcpsy007,psychosis,,text,N of Minutes,,MINUTES,number,NA,NA,NA,[dcpsy006] = '1',,,NA,,NA,NA
dcpsy008,psychosis,,text,N of Hours,,HOURS,number,NA,NA,NA,[dcpsy006] = '1',,,NA,,NA,NA
dcpsy009,psychosis,,text,N of Days,,DAYS,number,NA,NA,NA,[dcpsy006] = '1',,,NA,,NA,NA
dcpsy010,psychosis,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcpsy006] = '1',,,NA,,NA,NA
cspy5,psychosis,,descriptive,"
CONVERSING VOICES 
",,,,NA,NA,NA,,,,NA,,NA,NA
dcpsy011,psychosis,,radio,Have you ever heard two or more voices talking to each other that nobody else could hear? What were the voices saying?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
cpsy6,psychosis,,descriptive,How long did it last (Estimate duration and dates)?,,,,NA,NA,NA,[dcpsy011] = '1',,,NA,,NA,NA
dcpsy012,psychosis,,text,N of Minutes,,MINUTES,number,NA,NA,NA,[dcpsy011] = '1',,,NA,,NA,NA
dcpsy013,psychosis,,text,N of Hours,,HOURS,number,NA,NA,NA,[dcpsy011] = '1',,,NA,,NA,NA
dcpsy014,psychosis,,text,N of Days,,DAYS,number,NA,NA,NA,[dcpsy011] = '1',,,NA,,NA,NA
dcpsy015,psychosis,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcpsy011] = '1',,,NA,,NA,NA
cpsy7,psychosis,,descriptive,"
COMMAND HALLUCINATIONS 
",,,,NA,NA,NA,,,,NA,,NA,NA
dcpsy016,psychosis,,radio,Have you ever heard voices telling you to do something and nobody else could hear it?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
cpsy8,psychosis,,descriptive,How long did it last (Estimate duration and dates)?,,,,NA,NA,NA,[dcpsy016] = '1',,,NA,,NA,NA
dcpsy017,psychosis,,text,N of Minutes,,MINUTES,number,NA,NA,NA,[dcpsy016] = '1',,,NA,,NA,NA
dcpsy018,psychosis,,text,N of Hours,,HOURS,number,NA,NA,NA,[dcpsy016] = '1',,,NA,,NA,NA
dcpsy019,psychosis,,text,N of Days,,DAYS,number,NA,NA,NA,[dcpsy016] = '1',,,NA,,NA,NA
dcpsy020,psychosis,,text,N of Weeks,,WEEKS,number,NA,NA,NA,[dcpsy016] = '1',,,NA,,NA,NA
cpsy9,psychosis,,descriptive,"
PERSECUTORY HALLUCINATIONS
",,,,NA,NA,NA,,,,NA,,NA,NA
