Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cscr0,screener,GENERAL PROBES,descriptive,"


INTERVIEWER: Use timeline to date treatment, symptoms, etc. 




",,,,NA,NA,NA,,,,NA,,NA,NA
dcscr005,screener,TREATMENT,radio,"Have you ever talked to a counselor, psychologist, social worker, psychiatrist or some other professional about your feelings or problems with your mood or behaviors? Or are you currently taking medication because of your emotions and/or behaviors?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,LH,NA,,NA,NA
dcscr006,screener,TREATMENT,notes,Who was it and why did you speak to them?,,,,NA,NA,NA,[dcscr005] = '1',,LH,NA,,NA,NA
dcscr007,screener,TREATMENT,text,"How many separate times did you go to see someone?


INTERVIEWER: Clarify that these are distinct periods of outpatient services, not individual appointments.
",,TIMES,number,NA,NA,NA,[dcscr005] = '1',,,NA,,NA,NA
dcscr008,screener,TREATMENT,radio,How long did you see someone in total?,"1, Less than 6 months | 2, 6 months to 2 years | 3, Over 2 years",,,NA,NA,NA,[dcscr005] = '1',,LH,NA,,NA,NA
dcscr009,screener,TREATMENT,text,About how many talk sessions did you have in total?,,NUMBER,number,NA,NA,NA,[dcscr005] = '1',,,NA,,NA,NA
dcscr010,screener,"
IN-PATIENT TREATMENT
",radio,"Have you ever had to go to a hospital and stay overnight because of problems with your mood, feelings, or how you were acting?


INTERVIEWER:  Refer to Table of Hospitalizations in the Medical History section. 
","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcscr005] = '1',,LH,NA,,NA,NA
dcscr011,screener,"
IN-PATIENT TREATMENT
",notes,When and what happened that lead to you going to the hospital?,,,,NA,NA,NA,[dcscr010] = '1',,LH,NA,,NA,NA
dcscr012,screener,"
HELP SUGGESTED
",radio,"Have you or anyone else (like your friends, parents, or teachers) ever thought you needed help because of problems with your mood, feelings, or how you were acting?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcscr005] = '0' or [dcscr010] = '0',,LH,NA,,NA,NA
dcscr013,screener,"
HELP SUGGESTED
",notes,"If so, who and what did they say?",,,,NA,NA,NA,[dcscr012] = '1',,LH,NA,,NA,NA
cscr4.5,screener,SCREENING PROBES,descriptive,"
I'm now going to ask you some more questions about your feelings, behavior and mood.


",,,,NA,NA,NA,,,,NA,,NA,NA
cscr4,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,descriptive,"




Some young people worry a lot. They may often feel nervous, anxious or unable to relax.  They may have times when they worry a lot more than usual.
",,,,NA,NA,NA,,,,NA,,NA,NA
dcscr014,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,radio,Have you ever been a worrier?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr014,NA,NA
dcscr015,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,radio,Did you worry a lot more than most children your age?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr014,NA,NA
dcscr016,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,radio,Has there ever been a time when you felt nervous or scared a lot of the time?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr014,NA,NA
dcscr017,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,radio,Has anyone said that you are a worrier or that you worry too much?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,,NA,dcscr014,NA,NA
dcscr018,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,notes,Who said that you were a worrier?,,,,NA,NA,NA,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,LH,NA,,NA,NA
dcscr019,screener,OVERANXIOUS/GENERALIZED ANXIETY DISORDER,notes,Why did he/she say that you were a worrier?,,,,NA,NA,NA,[dcscr015] = '1' or [dcscr016] = '1' or [dcscr014] = '1',,LH,NA,,NA,NA
cscr5,screener,SEPARATION ANXIETY,descriptive,"


Some young people worry a lot about being away from their parents or the grown-up who takes care of them.   
",,,,NA,NA,NA,,,,NA,,NA,NA
dcscr020,screener,SEPARATION ANXIETY ,radio,"Since you were 5 years old, has there ever been a time when you had a lot of worries about your (attachment figures) and were very upset when you were away from him/her?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr020,NA,NA
dcscr021,screener,SEPARATION ANXIETY ,radio,Did you worry about this more than most children your age?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcscr020] = '1',,,NA,dcscr020,NA,NA
dcscr022,screener,SEPARATION ANXIETY ,radio,Has there ever been a time when you wanted to stay home from school or not go to other places without your (attachment figures)?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr020,NA,NA
cscr6,screener,,descriptive,"


INTERVIEWER: For disruptive behavior disorders (ADHD, ODD, CD), complete the diagnostic section if any of the probes are endorsed.
",,,,NA,NA,NA,,,,NA,,NA,NA
cscr7,screener,ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) ,descriptive,"
Some children have trouble paying attention and following instructions. They may be distracted easily and forget what they are supposed to do. These children often have difficulty staying still, are always on the go and often interrupt people. 
",,,,NA,NA,NA,,,,NA,,NA,NA
dcscr023,screener,"ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) 
Did you often: ",radio,"Have trouble paying attention or keeping your mind on your school work, chores, or other activities that you were doing?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr023,NA,NA
dcscr024,screener,"ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) 
Did you often: ",radio,"Have problems following instructions and often fail to finish school, work, or other things you meant to get done?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr023,NA,NA
dcscr025,screener,"ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD) 
Did you often: ",radio,Have difficulty sitting still for more than a few minutes at a time?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcscr023,NA,NA
