Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
csep0,separation_anxiety,,descriptive,"
Earlier you told me that you worried about your parents or grown-ups who took care of you.  I'd now like to ask you some more questions about that. 


SYMPTOMS
",,,,NA,NA,NA,,,,NA,,NA,NA
dcsep001,separation_anxiety,,radio,"During this time, who did you have trouble being away from?","1, Mom | 2, Dad | 3, Both | 4, Other Adult",,,NA,NA,NA,,,RH,NA,,NA,NA
dcsep002,separation_anxiety,,text,Specify (Other),,,,NA,NA,NA,[dcsep001] = '4',,RH,NA,,NA,NA
dcsep003,separation_anxiety,,notes,Describe,,,,NA,NA,NA,[dcsep001] = '1' or  [dcsep001] = '2' or [dcsep001] = '3' or [dcsep001] = '4',,LH,NA,,NA,NA
csep1,separation_anxiety,,descriptive,During that time:,,,,NA,NA,NA,,,,NA,,NA,NA
dcsep004,separation_anxiety,,radio,"Did you feel really scared, upset or worried when you were away from (attachment figure(s))? 
INTERVIEWER: Code yes only if excessive; If reported before age 6, must be of panic proportions.                                         
","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep004,NA,NA
dcsep005,separation_anxiety,,radio,Did you worry that something bad might happen to your (attachment figure(s))?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep004,NA,NA
dcsep007,separation_anxiety,,notes,What did you think might happen?,,,,NA,NA,NA,[dcsep005] = '1',,LH,NA,,NA,NA
dcsep008,separation_anxiety,,radio,Did you ever worry that she/he might leave and not come back?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep008,NA,NA
dcsep009,separation_anxiety,,radio,"Did you worry that something bad might happen to you so you couldn't see your (attachment figure(s)) again, like getting lost or kidnapped?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep008,NA,NA
dcsep010,separation_anxiety,,radio,"When you knew that you were going to be away from home or (attachment figure(s)), did you get very upset and worry?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep008,NA,NA
dcsep011,separation_anxiety,,radio,Did you feel so nervous or afraid to go to school that you wouldn't go or you had to be forced to go?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsep008,NA,NA
dcsep012,separation_anxiety,,radio,Was this because you wanted to stay with your (attachment figure(s))?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcsep011] = '1',,,NA,dcsep008,NA,NA
