Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
csoc0,social_anxiety,,descriptive,"
Earlier you said that you were very afraid of or uncomfortable about (list endorsed fears).  I'd now like to ask you more about (that/those).


SYMPTOMS


INTERVIEWER: For each situation endorsed, ask about Frequency, Distress and Avoidance using the questions and response choices below. If fear is not current, ask about worst time.     
",,,,NA,NA,NA,,,,NA,,NA,NA
csoc1,social_anxiety,,descriptive,"
Participant Card 3 (Social/Performance)

",,,,NA,NA,NA,,,,NA,,NA,NA
csoc1a,social_anxiety,,descriptive,"
SOCIAL SITUATIONS
",,,,NA,NA,NA,,,,NA,,NA,NA
csoc1b,social_anxiety,,descriptive,Have you ever been very afraid or felt uncomfortable:,,,,NA,NA,NA,,,,NA,,NA,NA
dcsoc001,social_anxiety,,radio,1. Meeting new people your own age?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc002,social_anxiety,,radio,"2. Talking to adults in authority, like teachers or coaches?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc003,social_anxiety,,radio,"3. Being with a large group of people your own age, like at a big party or in the lunchroom at school?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc004,social_anxiety,,radio,"4. Being with a small group of people your own age, like at a small party or a small class at school?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc005,social_anxiety,,radio,"5. Eating, drinking, writing (e.g., signing name, writing on dry erase/blackboard) or doing homework while someone watches?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc006,social_anxiety,,radio,6. Talking on the telephone?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
dcsoc007,social_anxiety,,radio,7. Talking with people your own age who you don't know very well?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc001,NA,NA
csoc2a,social_anxiety,,descriptive,"
PERFORMANCE SITUATIONS
",,,,NA,NA,NA,,,,NA,,NA,NA
csoc2b,social_anxiety,,descriptive,Have you ever been very afraid or felt uncomfortable:,,,,NA,NA,NA,,,,NA,,NA,NA
dcsoc008,social_anxiety,,radio,8. Speaking in class when a teacher calls on you?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc008,NA,NA
dcsoc009,social_anxiety,,radio,"9. Acting, performing or giving a talk/speech in front of a group of people?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc008,NA,NA
dcsoc010,social_anxiety,,radio,10. Playing sports or doing a musical performance in front of people?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc008,NA,NA
dcsoc011,social_anxiety,,radio,11. Taking an important test or exam even though you studied enough?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc008,NA,NA
dcsoc012,social_anxiety,,radio,12. Is there any other situation you can think of where you  have been the center of attention or where you were concerned something embarrassing might happen and you  felt very afraid of felt uncomfortable?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsoc008,NA,NA
dcsoc013,social_anxiety,,notes,Specify (Other situation),,,,NA,NA,NA,[dcsoc012] = '1',,LH,NA,,NA,NA
csoc3,social_anxiety,,descriptive,"
INTERVIEWER: If no to all, END Social Anxiety section.
",,,,NA,NA,NA,[dcsoc001] = '0' and [dcsoc002] = '0' and [dcsoc003] = '0' and [dcsoc004] = '0' and [dcsoc005] = '0' and [dcsoc006] = '0' and [dcsoc007] = '0' and [dcsoc008] = '0' and [dcsoc009] = '0' and [dcsoc010] = '0' and [dcsoc011] = '0' and [dcsoc012] = '0',,,NA,,NA,NA
csoc4,social_anxiety,,descriptive,"
NATURE OF FEAR
",,,,NA,NA,NA,,,,NA,,NA,NA
csoc5,social_anxiety,,descriptive,"When you were in these situations (list specific examples from above), were you afraid or uncomfortable because:",,,,NA,NA,NA,,,,NA,,NA,NA
