Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cpho0,specific_phobia,,descriptive,"
Earlier you said that you were very afraid of (list endorsed fears).  I'd like to ask you more about (that/those).


SYMPTOMS


INTERVIEWER:  For each of the fears endorsed, ask about Frequency, Distress and Avoidance using the questions and response choices below. If fear is not current, ask about worst time.


INTERVIEWER: Refer to card/picture.

",,,,NA,NA,NA,,,,NA,,NA,NA
cpho1,specific_phobia,,descriptive,"
Participant Card 2 (Fears)
",,,,NA,NA,NA,,,,NA,,NA,NA
cpho2,specific_phobia,,descriptive,Have you ever been very afraid of any animals or bugs such as:,,,,NA,NA,NA,,,,NA,,NA,NA
dcpho001,specific_phobia,,radio,1. Dogs?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho001,NA,NA
dcpho002,specific_phobia,,radio,2. Snakes?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho001,NA,NA
dcpho003,specific_phobia,,radio,3. Spiders?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho001,NA,NA
dcpho004,specific_phobia,,radio,4. Bees?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho001,NA,NA
dcpho005,specific_phobia,,radio,5. Any other animal or insect?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho001,NA,NA
dcpho006,specific_phobia,,notes,Specify (Other animal or insect),,,,NA,NA,NA,[dcpho005] = '1',,LH,NA,,NA,NA
cpho3,specific_phobia,,descriptive,"
Have you ever been really afraid of being high up or in a high place like:",,,,NA,NA,NA,,,,NA,,NA,NA
dcpho007,specific_phobia,,radio,6. A really high building?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho007,NA,NA
dcpho008,specific_phobia,,radio,7. A high balcony?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho007,NA,NA
dcpho009,specific_phobia,,radio,8. A roof?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho007,NA,NA
dcpho010,specific_phobia,,radio,9. A high staircase?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho007,NA,NA
dcpho011,specific_phobia,,radio,10. Other situations involving high places or being high up?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho007,NA,NA
dcpho012,specific_phobia,,notes,Specify (Other situations involving high places/being high up),,,,NA,NA,NA,[dcpho011] = '1',,LH,NA,,NA,NA
cpho4,specific_phobia,,descriptive,"
Have you ever felt really afraid of water, situations involving water, or weather, like:",,,,NA,NA,NA,,,,NA,,NA,NA
dcpho013,specific_phobia,,radio,"11. Swimming pools, lakes, or ocean?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho013,NA,NA
dcpho014,specific_phobia,,radio,12. Storms?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho013,NA,NA
dcpho015,specific_phobia,,radio,13. Thunder or lightning?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho013,NA,NA
dcpho016,specific_phobia,,radio,14. Other situations involving water or weather?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho013,NA,NA
dcpho017,specific_phobia,,notes,Specify (Other situation involving water/weather),,,,NA,NA,NA,[dcpho016] = '1',,LH,NA,,NA,NA
cpho5,specific_phobia,,descriptive,"
Have you ever felt very afraid of:",,,,NA,NA,NA,,,,NA,,NA,NA
dcpho018,specific_phobia,,radio,15. Going to the doctor or dentist?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho018,NA,NA
dcpho019,specific_phobia,,radio,16. Seeing a needle or getting a shot or injection?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho018,NA,NA
dcpho020,specific_phobia,,radio,17. Seeing blood from a cut or scrape?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho018,NA,NA
dcpho021,specific_phobia,,radio,18. Other medical experiences?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho018,NA,NA
dcpho022,specific_phobia,,notes,Specify (Other medical experiences),,,,NA,NA,NA,[dcpho021] = '1',,LH,NA,,NA,NA
cpho6,specific_phobia,,descriptive,"
Have you ever been really afraid of closed spaces like:",,,,NA,NA,NA,,,,NA,,NA,NA
dcpho023,specific_phobia,,radio,19. Elevators?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho023,NA,NA
dcpho024,specific_phobia,,radio,20. Closets?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho023,NA,NA
dcpho025,specific_phobia,,radio,21. Tunnels?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho023,NA,NA
dcpho026,specific_phobia,,radio,22. Caves?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho023,NA,NA
dcpho027,specific_phobia,,radio,23. Other small spaces?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho023,NA,NA
dcpho028,specific_phobia,,notes,Specify (Other small spaces),,,,NA,NA,NA,[dcpho027] = '1',,LH,NA,,NA,NA
dcpho029,specific_phobia,,radio,24. Have you ever been really afraid of flying or of airplanes?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho029,NA,NA
dcpho030,specific_phobia,,radio,"25. Have you ever been really afraid of cars, buses, or other ways of traveling?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho029,NA,NA
cpho7,specific_phobia,,descriptive,"
Have you ever been very afraid of:",,,,NA,NA,NA,,,,NA,,NA,NA
dcpho031,specific_phobia,,radio,26. Loud noises?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho031,NA,NA
dcpho032,specific_phobia,,radio,27. People in costume?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho031,NA,NA
dcpho033,specific_phobia,,radio,28. Being in the dark?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho031,NA,NA
dcpho034,specific_phobia,,radio,29. Anything else?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcpho031,NA,NA
dcpho035,specific_phobia,,notes,Specify (Other),,,,NA,NA,NA,[dcpho034] = '1',,LH,NA,,NA,NA
cpho8,specific_phobia,,descriptive,"
INTERVIEWER: If no to all, END Specific Phobia section.
",,,,NA,NA,NA,[dcpho001] = '0' and [dcpho002] = '0' and  [dcpho003] = '0' and  [dcpho004] = '0' and [dcpho005] = '0' and [dcpho007] = '0' and [dcpho008] = '0' and [dcpho009] = '0' and [dcpho010] = '0' and [dcpho011] = '0'  and [dcpho013] = '0' and [dcpho014] = '0' and [dcpho015] = '0' and [dcpho016] = '0' and [dcpho018] = '0' and [dcpho019] = '0' and [dcpho020] = '0' and [dcpho021] = '0' and [dcpho023] = '0' and [dcpho024] = '0' and [dcpho025] = '0' and [dcpho026] = '0' and [dcpho027] = '0' and [dcpho029] = '0' and [dcpho030] = '0' and [dcpho031] = '0' and [dcpho032] = '0' and [dcpho033] = '0' and [dcpho034] = '0',,,NA,,NA,NA
cpho9,specific_phobia,,descriptive,"
INTERVIEWER: If multiple fears within category are endorsed pick worst to assess. List up to three of these worst fears below. Record the corresponding number from the list.
",,,,NA,NA,NA,,,,NA,,NA,NA
