Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
csui0,suicideselfharm,,descriptive,"

SUICIDE
",,,,NA,NA,NA,,,,NA,,NA,NA
dcsui001,suicideselfharm,,radio,Have you ever thought a lot about death or dying?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsui001,NA,NA
dcsui002,suicideselfharm,,radio,Have you ever thought about killing yourself?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dcsui001,NA,NA
csui1,suicideselfharm,,descriptive,"
INTERVIEWER: If no, SKIP to Self-Harm.

",,,,NA,NA,NA,[dcsui002] = '0',,,NA,,NA,NA
dcsui003,suicideselfharm,,notes,"Please tell me about this (context, situation, triggers, etc):",,,,NA,NA,NA,[dcsui002] = '1',,LH,NA,,NA,NA
dcsui004,suicideselfharm,,dropdown,How old were you the first time (you thought about killing yourself)?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcsui002] = '1',,,NA,,NA,NA
dcsui005,suicideselfharm,,dropdown,How old were you the last time?,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcsui002] = '1',,,NA,,NA,NA
csui2,suicideselfharm,,descriptive,"
INTERVIEWER: If current, report to clinician.

",,,,NA,NA,NA,[dcsui002] = '1',,,NA,,NA,NA
dcsui006,suicideselfharm,,radio,Did you ever plan exactly how you would kill yourself?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcsui002] = '1',,RH,NA,,NA,NA
dcsui007,suicideselfharm,,notes,What did you plan?,,,,NA,NA,NA,[dcsui006] = '1',,LH,NA,,NA,NA
dcsui008,suicideselfharm,,radio,Have you ever tried to kill yourself or done anything that could have killed you?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcsui002] = '1',,RH,NA,,NA,NA
csui3,suicideselfharm,,descriptive,"
INTERVIEWER: If no suicide attempts, SKIP to Self-Harm.
",,,,NA,NA,NA,[dcsui008] = '0',,,NA,,NA,NA
dcsui009,suicideselfharm,,text,How many times have you tried?,,TIMES,number,NA,NA,NA,[dcsui008] = '1',,,NA,,NA,NA
csui4,suicideselfharm,,descriptive,"Now I am going to ask you some things about that time/each of these times: 

INTERVIEWER: Complete chart.
",,,,NA,NA,NA,[dcsui009] > 0,,,NA,,NA,NA
csui5,suicideselfharm,,descriptive,"
ATTEMPT 1
",,,,NA,NA,NA,[dcsui009] > 0,,,NA,,NA,NA
dcsui010,suicideselfharm,,dropdown,Age,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,[dcsui009] > 0,,,NA,,NA,NA
dcsui011,suicideselfharm,,radio,Method,"1, Hanging, gunshot, jumping, stabbing | 2, Cutting wrists | 3, Overdose with pills | 4, Other | 9, Unknown",,,NA,NA,NA,[dcsui009] > 0,,LH,NA,,NA,NA
dcsui012,suicideselfharm,,notes,Describe (Other),,,,NA,NA,NA,[dcsui011] = '4',,LH,NA,,NA,NA
dcsui013,suicideselfharm,,radio,Required medical assessment?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dcsui009] > 0,,RH,NA,,NA,NA
dcsui014,suicideselfharm,,radio,Required medical admission?,"0, No | 1, Yes, Emergency Room | 2, Yes, Inpatient, Medical Ward | 9, Unknown",,,NA,NA,NA,[dcsui009] > 0,,LH,NA,,NA,NA
dcsui015,suicideselfharm,,radio,Required psychiatric admission?,"0, No | 1, Yes, voluntary | 2, Yes, involuntary | 9, Unknown",,,NA,NA,NA,[dcsui009] > 0,,LH,NA,,NA,NA
