Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dctlo005,timeline,"
 TIMELINE
 
",text,What is your birthday?,,,date_mdy,NA,NA,NA,,,,NA,,NA,NA
dctlo008,timeline,"
 TIMELINE
 
",dropdown,"So, how old are you?","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,,,,NA,,NA,NA
dctlo009,timeline,"
 TIMELINE
 
",dropdown,What is your grade in school? (or last completed grade),"100, Pre-K | 0, Kindergarten | 1, 1st | 2, 2nd | 3, 3rd | 4, 4th | 5, 5th | 6, 6th | 7, 7th | 8, 8th | 9, 9th | 10, 10th | 11, 11th | 12, 12th | 13, College Freshman | 14, College Sophomore | 15, College Junior | 16, College Senior | 997, 997 | 998, 998 | 999, 999",GRADE,autocomplete,1,12,NA,,,,NA,,NA,NA
dctlo010,timeline,"
 HOME",notes,"Now I'd like to learn more about you (your child), where you live, your school, your family and your friends. Where did you first live when you were growing up?",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo011,timeline,"
 HOME",notes,"Who did you live with there?  (mother, father, siblings, extended family, other)",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo012,timeline,"
 HOME",notes,1. Any moves?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo013,timeline,"
 HOME",notes,2. Parental marriage/separation/divorce,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo014,timeline,"
 HOME",notes,3. Do you have any brothers and/or sisters? Are they older or younger? Do they live with you?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo015,timeline,"
 HOME",notes,4. How well do you get a long with your parents and siblings?  Do you do things together?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo016,timeline,"
 SCHOOL 
",notes,1. When did your last school year begin? When did it end? When did summer break begin?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo017,timeline,"
 SCHOOL 
",notes,"2.  Changing schools (grade school to junior high to high school to moves)
",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo018,timeline,"
 SCHOOL 
",notes,3. Did you ever have problems with your grades in school? Get into trouble for your behavior at school?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo019,timeline,"
 SCHOOL 
",notes,"4. Do you (your child) have an Individualized Educational Plan (IEP)? If yes, what is the reason? Learning and/or emotional problems? Describe:
",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo020,timeline,"
 PEERS
",notes,1. Do you have friends in school?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo021,timeline,"
 PEERS
",notes,2. How often do you see them outside of school?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo022,timeline,"
 PEERS
",notes,3. Do you have friends in other places (e.g. neighborhoods and/or clubs)?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo023,timeline,"
 PEERS
",notes,4. Do you have problems making/keeping friends?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo024,timeline,"
 PEERS
",notes,5. Do you often fight/argue with friends?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo025,timeline,"
 PEERS
",notes,6. Do you get into trouble with friends?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo026,timeline,"
 SIGNIFICANT EVENTS
",notes,"Are there any other things that happened in your life that stand out for you as very important? Things that may have happened to you like memorable vacations, team sports, your friends, your family? (positive or negative)",,,,NA,NA,NA,,,LH,NA,,NA,NA
ctlo0,timeline,"
 SCHOOL FUNCTIONING

",radio,The next questions refer to the current school year (when on summer break refer to the past school year). Is the child out of high school?,"0, No | 1, Yes",,,NA,NA,NA,,,RH,NA,,NA,NA
dctlo027,timeline,,dropdown,Date at beginning of school year (Month),"1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 97, 97 | 98, 98 | 99, 99",MONTH,autocomplete,NA,NA,NA,[ctlo0] = '0',,,NA,,NA,NA
dctlo028,timeline,,text,Date at beginning of school year (Year),,YEAR,number,1900,9999,NA,[ctlo0] = '0',,,NA,,NA,NA
dctlo031,timeline,"

How are you doing in school? What subjects do you have? What kind of grades do you get?

Please rate academic subjects on the following scale. List any additional academic subjects and review ratings. 
",radio,Reading/English,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,NA,NA,NA,[ctlo0] = '0',,,NA,dctlo031,NA,NA
dctlo032,timeline,,radio,Arithmetic/Math,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,NA,NA,NA,[ctlo0] = '0',,,NA,dctlo031,NA,NA
dctlo33,timeline,,text,Other subject 1,,OTHER SUBJECT 1,,NA,NA,NA,[ctlo0] = '0',,,NA,,NA,NA
dctlo34,timeline,,radio,Other subject 1,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,NA,NA,NA,[ctlo0] = '0',,LH,NA,,NA,NA
dctlo35,timeline,,text,Other subject 2,,OTHER SUBJECT 2,,NA,NA,NA,[ctlo0] = '0',,,NA,,NA,NA
dctlo36,timeline,,radio,Other subject 2,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,NA,NA,NA,[ctlo0] = '0',,LH,NA,,NA,NA
dctlo37,timeline,,text,Other subject 3,,OTHER SUBJECT 3,,NA,NA,NA,[ctlo0] = '0',,,NA,,NA,NA
dctlo38,timeline,,radio,Other subject 3,"1, Above Average | 2, Average | 3, Below Average | 4, Failing",,,NA,NA,NA,[ctlo0] = '0',,LH,NA,,NA,NA
dctlo039,timeline,,radio,"Are there different reading and arithmetic groups in your class at school? Which group are you in? Review ratings (specify academic ""track"" or group). If discrepancies exist, make notes but code for highest achievement.","1, Above average | 2, Average | 3, Below average | 4, Far below average | 9, Not applicable",,,NA,NA,NA,[ctlo0] = '0',,LH,NA,,NA,NA
dctlo040,timeline,,radio,"During the school year, how much TV do you usually watch every week? After school? After dinner? On Saturday or Sunday?","1, 7 or fewer hours per week | 2, 8-14 hours per week | 3, 15-21 hours per week | 4, 22-35 hours per week | 5, Greater than 35 hours per week | 9, Unk",,,NA,NA,NA,[ctlo0] = '0',,,NA,dctlo040,NA,NA
dctlo041,timeline,,radio,How much time do you spend playing video/computer games every week? After school? After dinner? On Saturday or Sunday?,"1, 7 or fewer hours per week | 2, 8-14 hours per week | 3, 15-21 hours per week | 4, 22-35 hours per week | 5, Greater than 35 hours per week | 9, Unk",,,NA,NA,NA,[ctlo0] = '0',,,NA,dctlo040,NA,NA
dctlo042,timeline,"

 PARENT ABOUT CHILD 
",radio,Does (child's name) have any serious problems?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo043,timeline,"

 PARENT ABOUT CHILD 
",radio,At home?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dctlo042] = '1',,,NA,dctlo042,NA,NA
dctlo044,timeline,"

 PARENT ABOUT CHILD 
",radio,At school?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dctlo042] = '1',,,NA,dctlo042,NA,NA
dctlo045,timeline,"

 PARENT ABOUT CHILD 
",radio,With friends?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,[dctlo042] = '1',,,NA,dctlo042,NA,NA
dctlo046,timeline,"

 PARENT ABOUT CHILD 
",radio,Would you say that (child's name) has a good sense of humor?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo047,timeline,"

 PARENT ABOUT CHILD 
",radio,Would you say that (child's name) has personality traits that cause problems for him/her?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo048,timeline,"

 PARENT ABOUT CHILD 
",radio,Is your child nervous or fearful?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo049,timeline,"

 PARENT ABOUT CHILD 
",radio,Would you describe him/her as shy?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo050,timeline,"

 PARENT ABOUT CHILD 
",radio,What about his/her moods?  Is he/she moody?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo051,timeline,"

 PARENT ABOUT CHILD 
",radio,Does he/she have a bad temper?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo052,timeline,"

 PARENT ABOUT CHILD 
",radio,Is he/she sensitive to the feelings of others? Too sensitive?(rate on this one),"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo042,NA,NA
dctlo053,timeline,"
 CHILD ABOUT SELF
",notes,"What do you enjoy most? (e.g. hobbies, sports, clubs, etc.)",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo054,timeline,"
 CHILD ABOUT SELF
",notes,Is there anything that makes you afraid?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo055,timeline,"
 CHILD ABOUT SELF
",notes,Are you nervous a lot?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo056,timeline,"
 CHILD ABOUT SELF
",notes,"Do you mostly like to be with other kids, or by yourself?",,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo057,timeline,"
 CHILD ABOUT SELF
",notes,How would you describe yourself?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo058,timeline,"
 CHILD ABOUT SELF
",notes,Have you had any problems with your family or your friends?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo059,timeline,"
 CHILD ABOUT SELF
",notes,Have you had any serious problems?,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo060,timeline,"
 CHILD ABOUT SELF
",notes,Notes,,,,NA,NA,NA,,,LH,NA,,NA,NA
dctlo061,timeline,"
 OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS",radio,"Have you ever had problems with your feelings, nerves, or mood?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo061,NA,NA
dctlo062,timeline,"
 OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS",radio,"What about problems with the way you act, things you do, or your behavior?","0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo061,NA,NA
dctlo063,timeline,"
 OVERVIEW OF EMOTIONAL OR BEHAVIOR PROBLEMS",radio,Have you ever received help for these problems or thought that you needed help?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctlo061,NA,NA
dctlo064,timeline,,notes,"
INTERVIEWER: If child/parent endorses treatment of any kind, identify the primary reason for treatment (ADHD, MDD, etc.) and code at the end of the appropriate section.
",,,,NA,NA,NA,,,LH,NA,,NA,NA
ctlo_end,timeline,,descriptive,"
INTERVIEWER: END Timeline section.
",,,,NA,NA,NA,,,,NA,,NA,NA
