Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
ctob0,tobacco,,descriptive,"
SMOKING TOBACCO
",,,,NA,NA,NA,,,,NA,,NA,NA
dctob001,tobacco,,radio,"How old were you the very first time you ever smoked, even a puff of a cigarette, cigar, or pipe?","7, N/A",,,NA,NA,NA,,,,NA,,NA,NA
dctob002,tobacco,,dropdown,Age,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,,,,NA,,NA,NA
dctob003,tobacco,,radio,How old were you the very first time you ever used smokeless tobacco?,"7, N/A",,,NA,NA,NA,,,,NA,,NA,NA
dctob004,tobacco,,dropdown,Age,"1, 1| 2, 2 | 3, 3| 4, 4| 5, 5| 6, 6|7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16 | 17, 17 | 18, 18 | 997, 997 | 998, 998 | 999, 999",AGE,autocomplete,NA,NA,NA,,,,NA,,NA,NA
ctob1,tobacco,,descriptive,"
CURRENT USE 

In the past 12 months, which form of tobacco did you use the most:",,,,NA,NA,NA,,,,NA,,NA,NA
dctob005,tobacco,,radio,Cigarettes?,"7, N/A | 0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctob005,NA,NA
dctob006,tobacco,,radio,Cigars?,"7, N/A | 0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctob005,NA,NA
dctob007,tobacco,,radio,Pipes?,"7, N/A | 0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctob005,NA,NA
dctob008,tobacco,,radio,Chewing Tobacco?,"7, N/A | 0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctob005,NA,NA
dctob009,tobacco,,radio,Other?,"7, N/A | 0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,,NA,dctob005,NA,NA
dctob010,tobacco,,radio,"How often did you use 
INTERVIEWER: (INSERT tobacco product).
","1, Everyday or almost everyday | 2, 3-5 times per week | 3, 1-2 times per week | 4, 2-3 times per month | 5, Once per month | 6, Less than once a month | 7, Not at all | 9, Unknown",,,NA,NA,NA,,,LV,NA,,NA,NA
dctob011,tobacco,,radio,About how many did you smoke or use per day on average?,"7, N/A",,,NA,NA,NA,,,,NA,,NA,NA
dctob012,tobacco,,text,N per day,,NUMBER PER DAY,number,NA,NA,NA,,,,NA,,NA,NA
dctob013,tobacco,,radio,How long did you smoke this much?,"7, N/A",,,NA,NA,NA,,,,NA,,NA,NA
dctob014,tobacco,,text,N of Weeks,,WEEKS,number,NA,NA,NA,,,,NA,,NA,NA
dctob015,tobacco,,text,N of Months,,MONTHS,number,NA,NA,NA,,,,NA,,NA,NA
dctob016,tobacco,,text,N of Years,,YEARS,number,NA,NA,NA,,,,NA,,NA,NA
ctob2,tobacco,,descriptive,"
PAST USE 
",,,,NA,NA,NA,,,,NA,,NA,NA
dctob017,tobacco,,radio,Was there ever a time when you smoked/used (insert tobacco product) at least once a week?,"0, No | 1, Yes | 9, Unk",,,NA,NA,NA,,,RH,NA,,NA,NA
dctob018,tobacco,,checkbox,What is the reason that you never smoked or used tobacco regularly? (Check all that apply),"1, Never had opportunity | 2, Never interested | 3, Didn't like smell | 4, Exposure to smoke from parents or other family members | 5, Concern about health risks | 6, Religious or cultural beliefs | 7, Parents told child not to smoke | 8, Not legal | 9, Unknown | 10, Other",,,NA,NA,NA,[dctob017] = '0',,LV,NA,,NA,NA
dctob019,tobacco,,text,Specify (Other),,,,NA,NA,NA,[dctob018(10)] = '1',,,NA,,NA,NA
dctob020,tobacco,,text,Specify (Other),,,,NA,NA,NA,[dctob018(10)] = '1',,,NA,,NA,NA
dctob021,tobacco,,radio,What is the most number of cigarettes you ever smoked?,"7, N/A",,,NA,NA,NA,[dctob017] = '0',,,NA,,NA,NA
dctob022,tobacco,,text,Most N of cigarettes ever smoked,,NUMBER PER DAY,number,NA,NA,NA,[dctob017] = '0',,,NA,,NA,NA
dctob023,tobacco,,radio,What is the most number of cigars or pipes you ever smoked,"7, N/A",,,NA,NA,NA,[dctob017] = '0',,,NA,,NA,NA
dctob024,tobacco,,text,Most N of cigars/pipes ever smoked,,NUMBER PER DAY,number,NA,NA,NA,[dctob017] = '0',,,NA,,NA,NA
